区名,男,女,計,世帯数
北区,2602,2851,5453,4206
都島区,1560,1604,3164,2464
福島区,708,802,1510,1172
此花区,987,1030,2017,1547
中央区,3637,4946,8583,6876
西区,2258,2412,4670,3780
港区,1563,1490,3053,2368
大正区,835,751,1586,1212
天王寺区,2075,2555,4630,3313
浪速区,4242,4656,8898,7162
西淀川区,1977,1894,3871,2810
淀川区,3407,3571,6978,5572
東淀川区,3424,3592,7016,5634
東成区,3434,3860,7294,5253
生野区,13127,14481,27608,18578
旭区,1078,1163,2241,1744
城東区,2506,2806,5312,4046
鶴見区,962,1048,2010,1465
阿倍野区,1487,1597,3084,2462
住之江区,1779,2002,3781,2819
住吉区,2128,2252,4380,3284
東住吉区,1691,1816,3507,2699
平野区,4109,4196,8305,5763
西成区,4735,4330,9065,7289
合計,66311,71705,138016,103518
