区名,外国人男,外国人女,計,外国人を含む世帯数
北区,2820,3011,5831,3501
都島区,1745,1692,3437,2157
福島区,813,914,1727,929
此花区,1084,1047,2131,1290
中央区,3965,5154,9119,5951
西区,2416,2569,4985,3271
港区,1688,1594,3282,2081
大正区,966,777,1743,1059
天王寺区,2198,2583,4781,2585
浪速区,4575,5006,9581,6792
西淀川区,2305,2138,4443,2733
淀川区,3693,3903,7596,4982
東淀川区,3666,3694,7360,5040
東成区,3491,3886,7377,4372
生野区,13332,14621,27953,16191
旭区,1124,1216,2340,1434
城東区,2690,2834,5524,3264
鶴見区,1023,1076,2099,987
阿倍野区,1673,1667,3340,2028
住之江区,2001,2236,4237,2447
住吉区,2152,2335,4487,2589
東住吉区,1872,1909,3781,2173
平野区,4358,4397,8755,4736
西成区,5046,4765,9811,6950
合計,70696,75024,145720,89542
